"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2014 found at https://www.cdc.gov/mmwr/volumes/66/ss/ss6624a1.htm?s_cid=ss6624a1_w",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York     (city and state),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown                     residence,Total by location of service
,Georgia,"1,012",0,--,--,--,--,--,--,--,84,"26,307",0,--,--,--,--,0,--,--,0,-- ,0,--,--,81,--,0,0,--,0,--,0,--,163,0,--,--,--,--,0,1644,--,506,--,0,0,--,--,--,--,--,0,0,0,0,--,0,"30,013"
,Hawaii,--,--,0,0,--,0,0,0,0,0,0,"1,994",0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,--,0,135,"2,147"
,Idaho,0,0,--,0,--,--,0,0,0,0,0,--,"1,283",0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,"1,353"
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,247","1,397",0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,234,"2,255","38,472"
,Indiana,0,0,--,0,--,--,0,0,0,--,0,--,0,127,"7,621",0,--,152,0,0,0,0,109,0,0,--,0,0,0,0,0,0,--,--,0,82,0,--,0,0,--,0,--,--,0,0,--,0,0,--,0,0,0,0,0,0,--,"8,118"
,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,"4,020"
,Kansas,0,--,0,--,--,0,0,0,0,--,--,0,0,--,--, -- ,"3,641",0,--,0,0,--,--,0,--,"3,381",0,--,--,0,--,--,--,--,0,--,106,--,0,0,--,--,--,--,0,0,--,--,0,0,0,0,--,--,0,--,0,"7,219"
,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,--,301,0,0,"3,054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,"3,442"
,Louisiana,--,0,--,192,--,0,--,0,0,--,--,0,0,--,0,0,0,0,"8,863",0,0,0,0,--,334,--,0,0,--,--,--,--,0,--,0,0,--,0,0,0,0,0,--,886,0,0,--,0,0,0,0,0,0,0,0,0,--,"10,322"
,Maine,0,--,0,0,--,0,0,0,0,--,--,0,0,--,0,--,0,0,0,"1,926",--,--,0,--,0,0,0,0,0,--,0,0,--,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,--,"2,021"
,Maryland**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,618,"19,354"
,Michigan,--,0,--,--,--,--,0,0,0,--,--,0,0,--,141,--,0,--,--,0,--,--,"26,321",0,0,--,0,0,0,--,0,0,--,--,0,"1,044",0,0,--,0,0,0,--,--,0,0,--,0,--,--,0,0,--,0,--,0,--,"27,629"
,Minnesota,0,0,--,0,--,--,--,0,0,--,--,0,--,--,--,--,--,0,0,0,0,--,--,"9,179",0,--,--,0,--,0,0,0,--,--,59,0,--,--,0,0,0,57,0,--,0,0,--,0,0,712,--,0,--,0,--,0,--,"10,123"
,Mississippi,--,0,0,--,--,0,0,0,0,0,--,0,0,0,0,0,0,0,65,0,0,0,0,0,"2,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,303"
,Missouri,--,0,--,--,--,0,0,0,0,--,0,0,0,391,--,--,--,--,0,0,0,0,0,--,0,"4,617",0,0,0,0,0,0,--,0,0,--,--,0,0,0,0,0,--,--,0,0,0,--,0,--,0,0,0,0,0,0,0,"5,060"
,Montana,0,--,0,0,--,--,0,0,0,--,0,0,--,0,0,0,0,0,0,0,--,0,0,--,--,0,"1,464",--,0,0,--,--,0,0,52,--,0,0,0,0,0,--,0,--,0,0,0,--,0,0,116,0,--,0,--,0,0,"1,690"
,Nebraska,0,0,--,0,0,--,0,0,0,0,0,--,0,0,0,209,--,0,0,0,0,0,0,--,0,--,0,"1,996",0,0,0,0,0,0,0,0,0,0,--,0,--,--,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,"2,270"
,Nevada,0,--,106,--,78,0,0,0,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,0,0,--,"7,791",0,--,0,--,--,--,--,--,--,--,0,0,--,0,--,83,0,--,--,0,0,0,0,--,--,--,0,--,"8,132"
,New Hampshire**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
,New Jersey,--,0,0,0,--,--,--,104,--,--,--,--,0,--,0,0,0,--,0,--,--,0,--,--,0,0,0,0,0,0,"22,916",0,194,--,--,--,--,--,854,--,--,0,0,--,0,0,--,--,--,0,0,0,0,0,0,--,--,"24,181"
,New Mexico,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,345",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,891,264,"4,500"
,New York,0,0,0,0,--,0,138,--,0,--,--,0,0,0,--,--,0,0,0,--,--,--,--,--,0,0,0,0,--,--,52,0,"27,622",--,0,--,--,--,528,--,--,0,--,--,--,--,--,0,0,0,0,--,--,0,--,656,--,"29,091"
,New York City,--,0,--,0,--,--,103,--,--,--,--,--,0,--,--,0,--,0,--,--,--,--,--,0,0,0,0,--,--,--,"1,079",--,"65,917",--,0,--,--,--,154,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,93,--,"67,620"
,North Carolina,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,--,0,--,0,0,--,0,--,0,--,"20,686",--,--,0,--,--,--,"2,688",0,--,--,0,0,585,--,--,0,0,0,0,0,0,0,411,"24,605"
,North Dakota,0,0,--,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,--,286,0,0,--,0,--,0,0,0,--,0,881,--,0,0,0,0,0,73,0,--,0,0,0,--,0,--,0,0,--,0,0,0,0,"1,264"
,Ohio,--,0,--,0,--,--,0,0,--,--,--,0,0,--,249,--,--,718,--,0,--,0,--,0,--,--,0,0,0,0,--,0,--,--,0,"20,018",--,--,95,0,--,0,--,--,--,0,--,0,--,--,0,0,0,0,0,0,0,"21,186"
,Oklahoma,0,0,--,147,0,--,0,0,0,--,0,0,--,0,--,0,--,0,--,0,0,--,--,0,--,83,0,0,0,0,0,--,0,0,0,--,"4,487",--,--,0,0,--,--,136,0,0,0,0,0,0,0,0,0,0,0,0,--,"4,916"
,Oregon,0,--,--,0,--,--,0,0,0,--,--,0,--,--,0,--,--,0,0,--,0,--,--,0,0,--,--,0,--,0,0,--,--,--,--,--,0,7426,--,0,0,0,0,--,--,0,0,721,0,--,0,0,0,0,--,0,--,"8,231"
,Pennsylvania,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,324,0,--,0,0,293,0,0,"30,764",0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,82,0,"32,126"
,Rhode Island,0,0,--,0,--,0,--,0,0,--,--,0,0,--,0,0,0,0,0,--,--,427,0,0,0,0,0,0,0,--,--,0,--,--,0,0,0,0,0,"2,491",--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,"2,990"
,South Carolina,--,0,0,0,--,--,--,0,0,--,63,0,0,--,0,0,0,0,0,--,--,0,--,0,--,0,0,0,--,0,--,--,--,189,0,--,0,0,--,0,"5,411",0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,--,"5,714"
,South Dakota,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,--,0,0,0,--,0,0,0,0,0,0,476,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,551
,Tennessee,195,0,0,325,0,--,0,0,0,--,--,0,0,--,--,0,--,839,--,0,--,--,--,0,1060,--,0,--,0,0,0,0,--,--,--,--,--,0,--,0,--,0,"9,739",--,0,0,--,0,0,--,0,0,0,0,0,0,0,"12,373"
,Texas,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,--,--,--,364,--,--,--,--,--,--,--,0,0,--,0,0,152,--,--,0,--,141,0,--,0,0,--,--,"53,128",--,0,--,--,--,0,--,--,--,185,--,0,--,"54,148"
,Utah,0,0,--,0,--,--,0,0,0,--,0,--,85,--,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,0,--,--,"2,767",0,0,--,0,--,56,0,--,0,--,0,0,"2,948"
,Vermont,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,--,0,--,0,0,0,0,0,0,-- ,--,--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,"1,150",0,0,0,0,0,0,--,0,0,0,--,"1,235"
,Virginia,--,0,--,--,--,--,--,--,146,--,--,0,--,--,0,0,0,--,0,0,563,--,--,0,--,--,0,--,0,--,--,--,--,268,0,--,0,0,--,0,--,0,--,--,0,0,"19,000",--,66,--,0,0,0,0,--,0,0,"20,187"
,Washington,0,157,--,--,--,--,0,0,0,--,--,--,357,--,--,0,--,--,0,0,--,--,--,--,0,--,--,0,--,0,0,0,--,0,--,--,--,205,--,0,0,0,--,--,--,0,--,"16,826",0,--,--,0,--,--,--,--,--,"17,710"
,West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,109,0,0,--,0,0,0,0,0,0,0,--,0,"1,502",0,0,0,0,0,0,0,0,"1,730"
,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,--,0,0,0,0,0,0,92,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,640",0,0,0,0,0,--,0,"5,800"
,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--
,Total by residence,"7,893","1,647","12,914","4,024",246,"9,453","10,625","2,920","1,407",365,"26,563","2,011","1,767","33,918","9,765","3,766","3,779","4,923","9,416","1,939","1,677","18,630","26,646","9,533","5,104","8,935","1,504","2,098","7,870",82,"24,454","3,655","93,984","21,385","1,009","21,650","4,808","7,683","32,683","2,581","9,774",755,"10,987","54,401","2,905","1,161","20,444","17,583","1,884","7,014",642, -- ,100,191, -- ,"3,438","76,002","652,639"
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by state of maternal residence should be interpreted with caution. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
